brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,warranty,portability,description
Panasonic,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–45 °C,Yes,5–7 days,Split,Wi‑Fi + Voice,36 dB,3.9,62200,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹62200: Panasonic 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–45 °C."
Haier,AI Convertible 6-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–45 °C,Yes,5–7 days,Split,Anti‑Bacterial Filter,35 dB,4.8,45270,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹45270: Haier AI Convertible 6-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,1.0 Ton 3 Star Inverter Split AC,12,1.0,3,Yes,16–52 °C,Yes,3–5 days,Split,Wi‑Fi + Voice,41 dB,4.4,43300,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹43300: Samsung 1.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 16–52 °C."
Godrej,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–50 °C,Yes,2–4 days,Split,Wi‑Fi App Control,45 dB,4.5,58570,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹58570: Godrej 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 45 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–50 °C."
Voltas,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–48 °C,Yes,5–7 days,Split,None,36 dB,4.8,51930,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹51930: Voltas 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–48 °C."
IFB,1.5 Ton 4 Star Dual Inverter Split AC,18,1.5,4,Yes,18–48 °C,Yes,3–5 days,Split,Anti‑Bacterial Filter,33 dB,4.3,55690,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹55690: IFB 1.5 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 33 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 18–48 °C."
Godrej,1.5 Ton 5 Star Dual Inverter Split AC,18,1.5,5,Yes,18–45 °C,Yes,2–4 days,Split,Wi‑Fi App Control,39 dB,4.7,56040,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹56040: Godrej 1.5 Ton 5 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 39 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–45 °C."
LG,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,16–52 °C,Yes,2–4 days,Split,4‑Way Swing,30 dB,4.8,51730,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹51730: LG 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 30 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 16–52 °C."
Daikin,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–48 °C,Yes,4–6 days,Split,Dehumidifier,41 dB,4.8,61840,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹61840: Daikin 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–48 °C."
Haier,1.5 Ton 4 Star Dual Inverter Split AC,18,1.5,4,Yes,18–45 °C,Yes,4–6 days,Split,4‑Way Swing,44 dB,4.2,51060,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹51060: Haier 1.5 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 44 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,1.5 Ton 5 Star Dual Inverter Split AC,18,1.5,5,Yes,16–52 °C,Yes,3–5 days,Split,Convertible Modes,35 dB,3.7,51960,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹51960: Samsung 1.5 Ton 5 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 16–52 °C."
Samsung,1.0 Ton 3 Star Inverter Split AC,12,1.0,3,Yes,18–50 °C,Yes,2–4 days,Split,Dehumidifier,35 dB,4.0,44950,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹44950: Samsung 1.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–50 °C."
Lloyd,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–45 °C,Yes,3–5 days,Split,4‑Way Swing,41 dB,3.9,44990,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹44990: Lloyd 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Blue Star,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–45 °C,Yes,5–7 days,Split,None,31 dB,3.8,54560,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹54560: Blue Star 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 31 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Panasonic,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–48 °C,Yes,5–7 days,Split,Wi‑Fi + Voice,41 dB,3.9,50580,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹50580: Panasonic 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
IFB,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–45 °C,Yes,2–4 days,Split,None,45 dB,4.6,46530,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹46530: IFB 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 45 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Daikin,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–45 °C,Yes,5–7 days,Split,Smart Diagnosis,40 dB,4.7,51700,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹51700: Daikin 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 40 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–45 °C."
LG,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–50 °C,Yes,5–7 days,Split,Self Clean,41 dB,4.5,58100,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹58100: LG 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–50 °C."
Daikin,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–50 °C,Yes,3–5 days,Split,None,45 dB,3.8,48140,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹48140: Daikin 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 45 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–50 °C."
LG,AI Convertible 6-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–45 °C,Yes,3–5 days,Split,None,44 dB,3.8,46040,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹46040: LG AI Convertible 6-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 44 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Godrej,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–48 °C,Yes,5–7 days,Split,Wi‑Fi App Control,35 dB,4.3,45650,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹45650: Godrej 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–48 °C."
Carrier,AI Convertible 6-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–50 °C,Yes,4–6 days,Split,Smart Diagnosis,38 dB,4.0,49480,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹49480: Carrier AI Convertible 6-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 38 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–50 °C."
Whirlpool,1.5 Ton 4 Star Dual Inverter Split AC,18,1.5,4,Yes,18–45 °C,Yes,4–6 days,Split,Wi‑Fi App Control,28 dB,4.2,56220,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹56220: Whirlpool 1.5 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 28 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,Convertible 5-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi‑Fi + Voice,39 dB,4.7,47000,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹47000: Samsung Convertible 5-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 39 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Voltas,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–45 °C,Yes,4–6 days,Split,Convertible Modes,44 dB,3.7,52490,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹52490: Voltas 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 44 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–45 °C."
Croma,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi‑Fi App Control,31 dB,4.5,47550,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹47550: Croma 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 31 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–48 °C."
Voltas,AI Convertible 6-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Smart Diagnosis,36 dB,4.3,47110,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹47110: Voltas AI Convertible 6-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–48 °C."
Samsung,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–50 °C,Yes,2–4 days,Split,None,38 dB,4.5,53290,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹53290: Samsung 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 38 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–50 °C."
Haier,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–45 °C,Yes,2–4 days,Split,Wi‑Fi App Control,30 dB,4.7,55440,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹55440: Haier 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 30 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–45 °C."
IFB,1.5 Ton 5 Star Dual Inverter Split AC,18,1.5,5,Yes,18–48 °C,Yes,5–7 days,Split,Wi‑Fi + Voice,29 dB,4.0,51650,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹51650: IFB 1.5 Ton 5 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 29 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Panasonic,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,16–52 °C,Yes,4–6 days,Split,Dehumidifier,41 dB,4.8,45530,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹45530: Panasonic 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 16–52 °C."
IFB,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–48 °C,Yes,5–7 days,Split,None,33 dB,4.5,48840,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹48840: IFB 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 33 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–48 °C."
Mitsubishi Electric,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–50 °C,Yes,3–5 days,Split,Wi‑Fi App Control,40 dB,4.7,50710,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹50710: Mitsubishi Electric 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 40 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–50 °C."
Panasonic,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–50 °C,Yes,4–6 days,Split,Smart Diagnosis,35 dB,3.7,56160,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹56160: Panasonic 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–50 °C."
Blue Star,1.5 Ton 4 Star Dual Inverter Split AC,18,1.5,4,Yes,16–52 °C,Yes,4–6 days,Split,Anti‑Bacterial Filter,44 dB,4.1,55780,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹55780: Blue Star 1.5 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 44 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 16–52 °C."
LG,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–50 °C,Yes,3–5 days,Split,Convertible Modes,36 dB,3.7,54770,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹54770: LG 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–50 °C."
Blue Star,1.5 Ton 5 Star Dual Inverter Split AC,18,1.5,5,Yes,18–45 °C,Yes,2–4 days,Split,PM2.5 Filter,34 dB,4.0,58140,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹58140: Blue Star 1.5 Ton 5 Star Dual Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 34 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–45 °C."
Lloyd,Convertible 5-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,PM2.5 Filter,30 dB,4.7,48410,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹48410: Lloyd Convertible 5-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 30 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–48 °C."
Whirlpool,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–50 °C,Yes,4–6 days,Split,PM2.5 Filter,38 dB,4.1,49840,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹49840: Whirlpool 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 38 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–50 °C."
Panasonic,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–45 °C,Yes,3–5 days,Split,Convertible Modes,37 dB,4.1,49010,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹49010: Panasonic 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 37 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–45 °C."
Voltas,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–45 °C,Yes,4–6 days,Split,4‑Way Swing,42 dB,4.2,46500,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹46500: Voltas 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 42 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Mitsubishi Electric,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,16–52 °C,Yes,4–6 days,Split,Dehumidifier,38 dB,3.8,47250,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹47250: Mitsubishi Electric 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 38 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 16–52 °C."
