brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,warranty,portability,description
Carrier,0.8 Ton Portable Smart AC,10,0.8,2,No,18–45 °C,No,4–6 days,Portable,PM2.5 Filter,54 dB,4.3,39090,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹39090: Carrier 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–45 °C."
Carrier,PC12DB 1 Ton Portable AC,12,1.0,2,No,18–50 °C,No,3–5 days,Portable,4‑Way Swing,51 dB,4.7,42400,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹42400: Carrier PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Cruise,PC12DB 1 Ton Portable AC,12,1.0,4,No,18–45 °C,No,3–5 days,Portable,Dehumidifier,56 dB,4.2,43250,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹43250: Cruise PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 56 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
LG,0.8 Ton Portable Smart AC,10,0.8,4,No,18–50 °C,No,4–6 days,Portable,4‑Way Swing,54 dB,4.0,37780,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37780: LG 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Blue Star,PC12DB 1 Ton Portable AC,12,1.0,3,No,18–48 °C,No,5–7 days,Portable,Smart Diagnosis,54 dB,4.4,39050,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹39050: Blue Star PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–48 °C."
Croma,PC12DB 1 Ton Portable AC,12,1.0,3,No,18–50 °C,No,4–6 days,Portable,,51 dB,4.0,42420,"1 Year Product, 5 Years Compressor",Portable,"Price ₹42420: Croma PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–50 °C."
Croma,1.5 Ton Portable AC Copper Condenser (CRC),18,1.5,3,No,18–48 °C,No,4–6 days,Portable,Wi‑Fi + Voice,54 dB,3.7,46750,"1 Year Product, 5 Years Compressor",Portable,"Price ₹46750: Croma 1.5 Ton Portable AC Copper Condenser (CRC) offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Haier,1.5 Ton 3 Star Window AC,18,1.5,3,No,16–52 °C,Yes,2–4 days,Window,Anti‑Bacterial Filter,56 dB,4.2,32070,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹32070: Haier 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 56 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 16–52 °C."
Haier,1.0 Ton 5 Star Window Inverter AC,12,1.0,5,Yes,18–45 °C,Yes,3–5 days,Window,Dehumidifier,52 dB,4.4,34820,"2 Years Product, 10 Years Compressor",Semi-portable,"Price ₹34820: Haier 1.0 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 52 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
Carrier,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–45 °C,Yes,5–7 days,Window,,53 dB,4.0,28390,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹28390: Carrier 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 53 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Mitsubishi Electric,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–45 °C,Yes,4–6 days,Window,,55 dB,4.6,32980,"2 Years Product, 10 Years Compressor",Semi-portable,"Price ₹32980: Mitsubishi Electric 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 55 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
LG,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–50 °C,Yes,3–5 days,Window,Wi‑Fi App Control,48 dB,4.5,26050,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹26050: LG 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 48 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–50 °C."
Samsung,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–50 °C,Yes,5–7 days,Window,PM2.5 Filter,51 dB,3.8,25980,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹25980: Samsung 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 51 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–50 °C."
Whirlpool,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–48 °C,Yes,5–7 days,Window,Wi‑Fi + Voice,56 dB,3.7,36460,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹36460: Whirlpool 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 56 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Lloyd,1.0 Ton 5 Star Window Inverter AC,12,1.0,5,Yes,18–45 °C,Yes,3–5 days,Window,Self Clean,54 dB,4.2,32370,"1 Year Product, 10 Years Compressor",Semi-portable,"Price ₹32370: Lloyd 1.0 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 54 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–45 °C."
Panasonic,1.5 Ton 3 Star Window AC,18,1.5,3,No,18–50 °C,Yes,4–6 days,Window,Self Clean,52 dB,4.3,34460,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹34460: Panasonic 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 52 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–50 °C."
Hitachi,1.5 Ton 3 Star Window AC,18,1.5,3,No,18–50 °C,Yes,5–7 days,Window,Self Clean,54 dB,4.0,27340,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹27340: Hitachi 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 54 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–50 °C."
