brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Daikin,0.8 T 3 Star Fixed Split AC,8,0.8,3,No,18–45 °C,Yes,4–6 days,Split,None,32 dB,4.0,27950,"Daikin 0.8 T 3-Star Fixed Split AC delivers powerful quick cooling (Power-Chill), PM2.5 filtration, and ultra-quiet (~32 dB) performance—perfect for small rooms."
Lloyd,1 T 3 Star Inverter Split (5-in-1),12,1.0,3,Yes,18–45 °C,Yes,4–6 days,Split,None,32 dB,4.2,33490,"Lloyd 1 T 3-Star Inverter Split offers 5-in-1 convertible modes, anti-viral air filter, and very low noise (~32 dB), great for small-medium rooms."
Carrier,1.5 T 3 Star AI Flexicool Inverter Split,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,None,32 dB,4.3,38430,"Carrier 1.5 T 3-Star AI Flexicool Inverter Split features 4-in-1 cooling, high-density filters, auto-clean cycle, and quiet 32 dB operation—balanced performance."
Cruise,1.5 T 3 Star Inverter Split AC,18,1.5,3,Yes,18–45 °C,Yes,5–7 days,Split,None,46 dB,3.8,28490,"Cruise 1.5 T 3-Star Inverter Split is a budget-friendly model that delivers inverter efficiency; suitable for ~18 m² rooms, moderate noise, and low price."
Haier,1 T 3 Star Window AC,10,1.0,3,No,18–45 °C,Yes,5–7 days,Window,None,52 dB,4.0,23990,"Haier 1 T 3-Star Window AC is a reliable value choice for small rooms, affordable and simple, though not inverter-based."
Whirlpool,1 T 3 Star Window AC,10,1.0,3,No,18–45 °C,Yes,5–7 days,Window,None,50 dB,3.9,24990,"Whirlpool’s 1 T 3-Star Window AC offers stable performance for tight budgets, easy installation, and acceptable noise levels (~50 dB)."
brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Voltas,1 T Split 3 Star Fixed,12,1.0,3,No,18–45 °C,Yes,3–5 days,Split,None,45 dB,4.1,29990,"Voltas 1 T Split 3-Star Fixed Speed is a sturdy, budget split AC for ~12 m² rooms, straightforward performance at entry-level price."
Samsung,1 T Split 3 Star,12,1.0,3,No,18–45 °C,Yes,3–5 days,Split,None,48 dB,4.0,24990,"Samsung 1 T Split 3-Star brings brand value and dependable cooling for small rooms at a budget-friendly ₹24,990."
Croma,1 T Window 3 Star,10,1.0,3,No,18–45 °C,Yes,5–7 days,Window,None,50 dB,3.8,21990,"Croma 1 T Window 3-Star offers accessible cooling with easy setup and decent performance at the lowest price point."
Blue Star,0.9 T Portable 3 Star,8,0.9,3,Yes,18–45 °C,Yes,5–7 days,Portable,App,54 dB,3.9,31990,"Blue Star Portable 0.9 T (3-Star) is mobile, app-controlled, and effective for small spaces needing flexible cooling."
Samsung,1 T Portable Smart AC,10,1.0,3,Yes,18–45 °C,Yes,5–7 days,Portable,Wi-Fi,55 dB,4.0,49990,"Samsung Portable Smart AC brings Wi-Fi smart control into a mobile form factor, suitable for renters or dynamic spaces."
Daikin,Portable 0.8 T 5 Star,8,0.8,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,53 dB,4.2,54990,"Daikin Portable 0.8 T 5-Star combines portability and elite energy savings, ideal for efficient small-room cooling."
Godrej,Portable 1 T 5 Star,10,1.0,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,55 dB,4.0,49990,"Godrej Portable 1 T 5-Star offers high efficiency in a portable unit—great for temporary setups or shifting rooms."
Voltas,Portable 1 T 5 Star,10,1.0,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,54 dB,4.1,46990,"Voltas Portable 1 T 5-Star delivers energy-efficient cooling where flexibility matters most."
LG,Portable 0.9 T Smart Inverter,8,0.9,3,Yes,18–45 °C,Yes,5–7 days,Portable,Wi-Fi,54 dB,4.1,45990,"LG Portable Smart Inverter (0.9 T) brings Wi-Fi control with mobility—great for dorms or home offices."
Haier,Portable 0.8 T Smart,8,0.8,3,Yes,18–45 °C,Yes,5–7 days,Portable,Wi-Fi,56 dB,4.0,35990,"Haier Portable Smart (0.8 T) adds Wi-Fi functionality to compact portable cooling for renters."
Hitachi,1.5 T Window Inverter 3 Star,14,1.5,3,Yes,18–45 °C,Yes,4–6 days,Window,None,49 dB,4.1,32580,"Hitachi 1.5 T Window Inverter (3-Star) combines inverter efficiency, stable cooling, and moderate noise for mid-size rooms."
Mitsubishi,1.5 T Split 5 Star Inverter,14,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,None,44 dB,4.3,84990,"Mitsubishi 1.5 T 5-Star Inverter Split delivers premium energy savings and quiet (~44 dB) performance—ideal choice for comfort seekers."
Croma,1.5 T Split 3 Star,14,1.5,3,No,18–45 °C,Yes,4–6 days,Split,None,46 dB,3.9,37990,"Croma 1.5 T Split 3-Star is a practical choice for cost-conscious users needing reliable cooling for mid-sized rooms."
Panasonic,1 T Window Dual Inverter 5 Star,10,1.0,5,Yes,18–45 °C,Yes,4–6 days,Window,Wi-Fi,50 dB,4.1,35990,"Panasonic Window Dual Inverter (5-Star) blends smart Wi-Fi control with energy savings for compact spaces."
brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Voltas,1 T Split 5 Star Inverter,12,1.0,5,Yes,18–48 °C,Yes,3–5 days,Split,None,43 dB,4.2,54990,"Voltas 1 T 5-Star Inverter Split is efficient, offers quiet cooling (~43 dB), and ideal for small rooms needing low-running cost."
Daikin,0.8 T Split 3 Star Fixed,8,0.8,3,No,18–45 °C,Yes,4–6 days,Split,None,32 dB,4.0,27290,"Daikin 0.8 T 3-Star Fixed is compact, quiet, and quick-chilling, perfect for small private rooms."
Blue Star,0.8 T Split 3 Star Inverter,8,0.8,3,Yes,18–45 °C,Yes,5–7 days,Split,None,34 dB,3.8,25970,"Blue Star 0.8 T Split Inverter delivers efficient cooling for tight spaces, with low noise (~34 dB) and energy savings."
LG,1.2 T Split Dual Inverter 5 Star,14,1.2,5,Yes,18–48 °C,Yes,3–5 days,Split,Wi-Fi,40 dB,4.3,65990,"LG 1.2 T 5-Star Split Dual Inverter offers powerful efficiency, smart features, and quiet cooling—great for moderate-sized rooms."
Daikin,2 Ton 4 Star Inverter Split,25,2.0,4,Yes,18–50 °C,Yes,4–6 days,Split,None,40 dB,4.5,91699,"Daikin 2 T 4-Star Inverter Split is tailored for larger areas, energy-saving performance, and quiet 40 dB operation."
Carrier,2 Ton 5 Star Inverter Split,25,2.0,5,Yes,18–50 °C,Yes,4–6 days,Split,None,42 dB,4.4,54990,"Carrier 2 T 5-Star Inverter Split provides low running cost, efficient cooling, and quiet operation for spacious rooms."
Samsung,1.5 T 5 Star Convertible Split,18,1.5,5,Yes,18–48 °C,Yes,3–5 days,Split,None,44 dB,4.3,41590,"Samsung 1.5 T 5-Star Convertible Split offers energy-efficient convertible cooling and quieter performance—great choice for modern homes."
Lloyd,1.5 T 5 Star Inverter Split,18,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,None,44 dB,4.4,40390,"Lloyd 1.5 T 5-Star Inverter Split combines high efficiency, low noise, and solid after-sales support at a rounded ₹40,390."
Haier,1.5 T 4 Star Inverter Split,18,1.5,4,Yes,18–48 °C,Yes,5–7 days,Split,None,45 dB,4.1,34990,"Haier 1.5 T 4-Star Inverter Split brings inverter efficiency and performance to mid budgets at ₹34,990."
Panasonic,1 T Split 5 Star Inverter,14,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,41 dB,4.2,57990,"Panasonic 1 T 5-Star Split Inverter offers quiet ~41 dB cooling and Wi-Fi smart controls for home comfort."
Mitsubishi,Portable 0.8 T 5 Star,8,0.8,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,53 dB,4.1,58990,"Mitsubishi Portable 0.8 T 5-Star delivers premium energy efficiency in a mobile form."
Croma,Portable 1 T 3 Star Value,10,1.0,3,No,18–45 °C,Yes,5–7 days,Portable,None,57 dB,3.8,34990,"Croma Portable 1 T 3-Star is an affordable mobile cooling option, great for quick summer relief."
brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
LG,1 T 5 Star Window Inverter,12,1.0,5,Yes,18–45 °C,Yes,4–6 days,Window,Wi-Fi,49 dB,4.3,49990,"LG 1 T Window Inverter 5-Star adds smart Wi-Fi control to high efficiency window cooling—perfect for compact rooms."
Blue Star,1 T Window 5 Star Inverter,10,1.0,5,Yes,18–45 °C,Yes,4–6 days,Window,None,50 dB,4.1,36990,"Blue Star 1 T Window Inverter 5-Star offers high efficiency cooling for small rooms in a window unit."
Sony,1 T Split 3 Star,12,1.0,3,No,18–45 °C,Yes,4–6 days,Split,None,48 dB,3.9,31990,"Sony 1 T Split 3-Star (fictional placeholder brand) offers mid-level cooling with well-known brand reliability."
Daikin,Premium 1 T 5 Star Wi-Fi Split,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,40 dB,4.5,58990,"Daikin Premium 1 T 5-Star Wi-Fi Split blends top efficiency and smart connectivity with quiet ~40 dB cooling."
Hitachi,Portable 1 T 3 Star,10,1.0,3,Yes,18–45 °C,Yes,5–7 days,Portable,None,52 dB,3.9,44990,"Hitachi Portable 1 T 3-Star offers a dependable mobile cooling solution for small rooms with decent warranty."
Panasonic,Portable 1 T High-Efficiency,10,1.0,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,51 dB,4.2,52990,"Panasonic Portable 1 T High-Efficiency 5-Star brings premium energy savings to mobile format."
Carrier,Portable 1 T Basic,10,1.0,3,Yes,18–45 °C,Yes,5–7 days,Portable,None,55 dB,3.8,42990,"Carrier Portable 1 T Basic is mobile, compact, and easy-to-use for temporary use."
Cruise,1 T Portable AC,10,1.0,3,Yes,18–45 °C,Yes,5–7 days,Portable,None,54 dB,3.8,31990,"Cruise 1 T Portable AC offers affordable mobile cooling for casual use cases."
Lloyd,Portable 0.9 T 3 Star,8,0.9,3,Yes,18–45 °C,Yes,5–7 days,Portable,None,53 dB,3.9,32990,"Lloyd Portable 0.9 T (3-Star) is a compact and efficient solution for renters."
Daikin,1 T Split Wi-Fi Inverter 5 Star,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,39 dB,4.4,60990,"Daikin 1 T Split Wi-Fi Inverter (5-Star) blends advanced connectivity with quiet, efficient cooling."
Blue Star,1.2 T Split 5 Star Inverter,14,1.2,5,Yes,18–48 °C,Yes,3–5 days,Split,None,42 dB,4.2,45990,"Blue Star 1.2 T 5-Star Inverter Split achieves optimal cooling in mid-sized rooms with good energy savings."
Godrej,Split 1.2 T 5 Star Inverter,13,1.2,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,45 dB,4.3,45990,"Godrej Split 1.2 T 5-Star Inverter includes Wi-Fi smart capabilities, quiet operation, and efficiency."
brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Mitsubishi,Portable 0.8 T High-Efficiency,8,0.8,5,Yes,18–45 °C,Yes,5–7 days,Portable,None,53 dB,4.1,58990,"Mitsubishi Portable 0.8 T delivers high-end efficiency and reliable mobile performance for small rooms."
LG,Portable 1 T Smart Ultra,10,1.0,5,Yes,18–45 °C,Yes,5–7 days,Portable,Wi-Fi,50 dB,4.2,54990,"LG Portable 1 T Smart Ultra offers Wi-Fi control and 5-Star efficiency in a mobile package."
Samsung,Window 1 T Smart 5 Star Inverter,10,1.0,5,Yes,18–45 °C,Yes,3–5 days,Window,Wi-Fi,48 dB,4.2,37990,"Samsung Window 1 T Smart Inverter brings smart control and high efficiency to window-unit convenience."
Voltas,Split 1 T Convertible 5 Star,12,1.0,5,Yes,18–48 °C,Yes,3–5 days,Split,None,43 dB,4.3,54990,"Voltas Split 1 T Convertible 5-Star brings flexible cooling modes and efficiency to small living spaces."
Panasonic,Split 1.5 T 5 Star Inverter,15,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,41 dB,4.2,62990,"Panasonic Split 1.5 T 5-Star Inverter offers efficient, smart cooling with quiet operation and strong brand trust."
Unique Cool,Portable 1 T Adventure,10,1.0,3,Yes,18–45 °C,Yes,5–7 days,Portable,App,55 dB,3.8,34990,"Unique Cool Portable 1 T Adventure (fictional) provides app-enabled mobility and practical cooling for occasional use."
Cruise,1.5 T Portable Premium,15,1.5,3,Yes,18–45 °C,Yes,5–7 days,Portable,App,53 dB,3.9,39990,"Cruise 1.5 T Portable Premium supports app control and higher capacity—great for flexible usage across rooms."
Daikin,1 T Portable Advanced,10,1.0,5,Yes,18–45 °C,Yes,5–7 days,Portable,Wi-Fi,50 dB,4.3,59990,"Daikin Portable 1 T Advanced delivers 5-Star efficiency, Wi-Fi control, and mobile flexibility in one unit."
Haier,Window 1 T Dual Inverter 5 Star,12,1.0,5,Yes,18–45 °C,Yes,5–7 days,Window,None,48 dB,4.1,39990,"Haier Window 1 T Dual Inverter 5-Star blends inverter energy savings and ease of setup for compact spaces."
Samsung,Split 2 T 5 Star Inverter,25,2.0,5,Yes,18–50 °C,Yes,3–5 days,Split,Wi-Fi,45 dB,4.4,71990,"Samsung Split 2 T 5-Star Inverter with Wi-Fi caters to large rooms, offering efficient and smart cooling with moderate noise."
Blue Star,2 T 5 Star Inverter Split,25,2.0,5,Yes,18–48 °C,Yes,4–6 days,Split,None,46 dB,4.3,67990,"Blue Star 2 T 5-Star Inverter Split is built for spacious areas with top-notch energy efficiency."
Carrier,2 T 5 Star Smart Split,25,2.0,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,44 dB,4.4,74990,"Carrier 2 T 5-Star Smart Split combines large-area cooling, Wi-Fi connectivity, and efficient operation."
Voltas,2 T 3 Star Split Inverter,25,2.0,3,Yes,18–50 °C,Yes,3–5 days,Split,None,48 dB,4.0,55990,"Voltas 2 T 3-Star Split Inverter is a value-focused cooling solution for large rooms with inverter benefits."
Whirlpool,2 T 3 Star Split,25,2.0,3,No,18–45 °C,Yes,5–7 days,Split,None,50 dB,3.8,52990,"Whirlpool 2 T 3-Star Split offers straightforward cooling capacity for large rooms—no inverter, but dependable performance."
